event_index,entry_index,exit_index,timestamp,exit_time,label,gross_return,outcome,price_kijun_atr,price_cloud_atr,cloud_width_atr,tenkan_kijun_atr,kijun_slope_3_atr,atr_pct,volume_z_20,ret_1,ret_3,ret_12,bars_since_tk_cross,symbol
30,31,35,2020-01-06 00:00:00+00:00,2020-01-06 20:00:00+00:00,1,0.019883558742796792,PROFIT,3.1550635372465283,2.1517367257515163,0.0,2.006653622990024,0.4251702718402492,0.013255705828531222,,0.024752845252250744,0.009704863947126663,0.028335862955826352,5.0,BTC/USDT
30,31,32,2020-01-06 00:00:00+00:00,2020-01-06 08:00:00+00:00,1,0.02550073389205698,PROFIT,2.8316627155731973,2.102135314539443,0.0,1.4590548020675085,0.36054677912359834,0.017000489261371314,,0.030435103789613782,0.01624653941425036,0.04612269386530676,5.0,ETH/USDT
40,41,42,2020-01-07 16:00:00+00:00,2020-01-08 00:00:00+00:00,1,0.0281445819835775,PROFIT,1.8870861474034417,1.1584922354621778,0.0,1.4571878238825384,0.9398210102946168,0.01876305465571824,4.593847507427377,0.026598795526240337,0.002239798418142369,0.037834311806914434,15.0,ETH/USDT
167,168,174,2020-01-28 20:00:00+00:00,2020-01-30 00:00:00+00:00,0,-0.017246577113132044,STOP,3.3814797713269913,2.692656954678062,0.7410824992660111,1.3776456332978702,0.7758552880843053,0.017248656075747396,0.8738720732009729,0.04032356512031021,0.03215985677368627,0.08812652350551353,11.0,BTC/USDT
167,168,174,2020-01-28 20:00:00+00:00,2020-01-30 00:00:00+00:00,0,-0.01800558157324783,STOP,2.7629988945160493,1.9287218957425931,1.1600799594319036,1.6685539975469033,0.6737478700995057,0.017999430725523013,0.7163150345203164,0.025754832681188944,0.021459726664728063,0.04634814726557823,13.0,ETH/USDT
243,244,250,2020-02-10 12:00:00+00:00,2020-02-11 16:00:00+00:00,1,0.03569423061356769,PROFIT,1.0198258324961818,0.49391933769418517,2.9804504034574837,1.0518129896039934,0.3923130739399543,0.0237961537423785,0.8757662616270778,0.021449805625428864,-0.0091832660485337,-0.007818747223456213,89.0,ETH/USDT
249,250,250,2020-02-11 12:00:00+00:00,2020-02-11 16:00:00+00:00,1,0.03394280561707852,PROFIT,1.3258368402454723,1.1814722316389914,2.8993627915783122,0.2887292172129621,0.19988945807051092,0.022630515097027702,2.6727099726199754,0.02785265049416008,0.044605761767794405,0.00864045141950287,95.0,ETH/USDT
266,267,273,2020-02-14 08:00:00+00:00,2020-02-15 12:00:00+00:00,0,-0.015583949218571647,STOP,1.0574877550715691,0.46388496180875183,1.1361245040527597,1.1872055865256343,0.0,0.015584374128865094,0.6214533599478272,0.014247929378625956,0.003872085305138162,-0.007169789430941487,11.0,BTC/USDT
385,386,397,2020-03-05 08:00:00+00:00,2020-03-07 08:00:00+00:00,0,-0.0012735438032039914,TIME,2.4253441221857335,1.324036940266507,0.6493864694968644,0.9038414248447245,0.5694200976521859,0.015135377039712114,1.5822398706633385,0.023140960421807577,0.039998308739588095,0.027394894233830236,13.0,BTC/USDT
390,391,394,2020-03-06 04:00:00+00:00,2020-03-06 20:00:00+00:00,1,0.03551579875206334,PROFIT,1.5725504791870566,1.3600678887837883,0.6786891178703531,0.4249651808065367,0.6042753836784928,0.02367920979976503,1.1176684675792108,0.027753534648280676,0.012075114949937626,0.039181080127073775,18.0,ETH/USDT
550,551,555,2020-04-01 20:00:00+00:00,2020-04-02 16:00:00+00:00,1,0.03921437148990736,PROFIT,2.1538283679427557,1.353433571707497,0.37957000183309986,0.8416495888043173,0.23301904469923793,0.026144645926910716,4.359031961973705,0.07129874967947725,0.05495587490292797,0.03886850640718875,8.0,BTC/USDT
550,551,555,2020-04-01 20:00:00+00:00,2020-04-02 16:00:00+00:00,1,0.03479698602060388,PROFIT,1.6810688635800877,0.6689319390994466,0.6300035958501905,0.764266657260892,0.24945917918910493,0.023191152154150043,3.880198417362526,0.044251192858242305,0.025623582766439723,0.027487505679236746,8.0,ETH/USDT
568,569,577,2020-04-04 20:00:00+00:00,2020-04-06 08:00:00+00:00,1,0.03984408722314492,PROFIT,1.004301393323084,0.636667846960274,1.170124902139465,0.7352670927256201,0.0,0.026564351818593547,0.5009062494341108,0.016249342334397898,0.023888272527590626,0.009258046331444003,26.0,BTC/USDT
714,715,717,2020-04-29 04:00:00+00:00,2020-04-29 16:00:00+00:00,1,0.03061761747531455,PROFIT,2.113200170345759,1.7194361634490318,2.668049452791149,0.787528013793454,0.9724777746085774,0.020411744983543076,4.656410140164437,0.03655642514516533,0.049593537501917195,0.046703716922449345,37.0,ETH/USDT
726,727,738,2020-05-01 04:00:00+00:00,2020-05-03 04:00:00+00:00,0,0.005457796179542562,TIME,0.641215541066622,0.16349868720045466,1.3143791014712698,0.9554337077323305,0.0,0.03129200956660759,-0.014046846280437439,0.017617770968977542,0.005582363515942879,0.03541331774562817,49.0,ETH/USDT
757,758,760,2020-05-06 08:00:00+00:00,2020-05-06 20:00:00+00:00,0,-0.021189462390117986,STOP,1.9127695495225365,1.6112866668825605,2.206348007004223,0.6029657652799519,0.3774869707004741,0.021191646636214343,4.9730732421793,0.03269174046204437,0.03227393998778516,0.07387147212523448,3.0,BTC/USDT
773,774,775,2020-05-09 00:00:00+00:00,2020-05-09 08:00:00+00:00,0,-0.02418444145961851,STOP,1.4152900608879058,1.0348825206150971,0.27020052733481714,0.7608150805456171,0.0,0.02418670337894694,-0.6474295452074402,0.011972930765226542,0.011589952221013444,0.03871375139651234,8.0,ETH/USDT
815,816,824,2020-05-16 00:00:00+00:00,2020-05-17 12:00:00+00:00,1,0.038224652549913696,PROFIT,0.7776795612347677,0.40860292067417475,0.05089008564623818,0.7381532811211857,0.7282717110927875,0.02547412109721878,-1.1241519860613094,0.01934722364774699,0.0039423805913569865,-0.0024608276416231423,11.0,ETH/USDT
