symbol,period,strategy,kill_switch_activations,n,total_return,annualized_return,sharpe,sortino,max_drawdown,calmar,mean_period_return,period_volatility,win_rate_periods,profit_factor_periods,expectancy_period,var_95_loss,cvar_95_loss,gross_positive_returns,gross_negative_returns,turnover_sum,trade_events,avg_abs_position,exposure_fraction,fee_bps,slippage_bps,total_explicit_cost,total_funding_drag,funding_available,gross_strategy_return_sum,net_strategy_return_sum
BTC/USDT,development,S6,0,8765,0.3636490633750926,0.08057880377852777,1.632364951989628,1.3730397708668567,-0.047481250707497424,1.6970657381146903,3.59168849419437e-05,0.0010296828023258551,0.16451796919566458,1.209216658633575,3.59168849419437e-05,0.0011914266886007812,0.002350337056272841,1.819526745159419,1.5047152486432824,37.06891356713946,2828,0.048908779134987625,0.31648602395892755,10.0,2.0,0.04448269628056735,0.0,False,0.3592941927967039,0.3148114965161365
BTC/USDT,development,IRCP,0,8765,0.23379360780190273,0.05389566136125579,1.1682271627256713,0.9782888595339847,-0.044897399174514185,1.200418339417964,2.444893567701194e-05,0.0009793878578534176,0.13998859098687963,1.1540992784849406,2.444893567701194e-05,0.0010440058003500833,0.0022442382432321167,1.6049238931022902,1.390628971893281,79.5212787990435,2593,0.04391415785014455,0.27815173987450087,10.0,2.0,0.09542553455885222,0.0,False,0.3097204557678619,0.21429492120900964
BTC/USDT,development,S5,1,8765,0.20506165038369462,0.04770921448209853,1.1298669434750919,0.8292746078210022,-0.0507422703047693,0.940226249151771,2.1684531010852742e-05,0.0008981415504572389,0.12721049629207073,1.1569642098110209,2.1684531010852742e-05,0.0009805731355971839,0.002134649058805506,1.4009455000115127,1.2108805857013882,23.7660165530118,2195,0.032447390039711387,0.2441528807758129,10.0,2.0,0.02851921986361416,0.0,False,0.21858413417373845,0.1900649143101243
BTC/USDT,development,S3,1,8765,0.16117751014340675,0.03804313010147142,1.1207181910995727,0.7185382884521423,-0.051201355971529305,0.7430102070465758,1.731006450019085e-05,0.000722810282768253,0.08123217341699943,1.194022307204154,1.731006450019085e-05,0.0004985089866039016,0.001602979664761803,0.9337086505208296,0.7819859351766567,36.74804562530516,1496,0.0215988103464754,0.15778665145464918,10.0,2.0,0.04409765475036619,0.0,False,0.19582037009453898,0.15172271534417278
BTC/USDT,development,S4,0,8765,0.21004204167352225,0.04878944151901621,1.0585073121326423,0.8935618287136533,-0.04552350647593406,1.071741728524552,2.2234698532155927e-05,0.000983013405546604,0.1414717626925271,1.137426427309301,2.2234698532155927e-05,0.001060665849972222,0.002265968915351308,1.6130068964241784,1.4181197637898317,85.10572131089029,2639,0.04456859702994147,0.2819167142042213,10.0,2.0,0.10212686557306833,0.0,False,0.29701399820741503,0.1948871326343467
BTC/USDT,development,B0,0,8765,4.851847269246572,0.554940659799726,0.9993250034500188,1.2433593671543408,-0.7704553949481678,0.7202761684043493,0.0003025475317855235,0.014168012062670267,0.5154592127780947,1.0708845900101929,0.0003025475317855235,0.02041331348258359,0.03422967905904997,40.06234550222577,37.41051638612565,1.0,1,1.0,1.0,10.0,2.0,0.0012,0.0,False,2.6530291161001136,2.6518291161001137
BTC/USDT,development,S1,1,8765,0.18604525548076123,0.04355356813033895,0.9947401624154615,0.7490687037923308,-0.0534074699908631,0.8154958124357895,1.9904927062034156e-05,0.0009364249901889451,0.14272675413576727,1.1287194270563516,1.9904927062034156e-05,0.0010598129582077734,0.0022798884526331067,1.5298695933138349,1.3554029076151055,33.32452785925292,2474,0.03690460441427351,0.2740444951511694,10.0,2.0,0.039989433431103505,0.0,False,0.21445611912983284,0.17446668569872936
BTC/USDT,development,C2,1,8765,0.08894696347087372,0.021518895591812193,0.7430757208067542,0.36279726668796575,-0.05548309204529167,0.38784600494590316,9.916694302325235e-06,0.0006245337483602401,0.05727324586423274,1.1540493753434107,9.916694302325235e-06,0.00016383191122792734,0.0012708485217227004,0.6511533731878199,0.5642335476279392,17.092257579008507,1004,0.016440376102179462,0.110781517398745,10.0,2.0,0.020510709094810207,0.0,False,0.1074305346546909,0.08691982555988069
BTC/USDT,development,S2,1,8765,-0.020168332588624716,-0.005077781105467416,-0.263952002459927,-0.07012014806187038,-0.05037080505112812,-0.10080801965172666,-2.2452594702645187e-06,0.00039807383537863956,0.024871648602395893,0.921370431504036,-2.2452594702645187e-06,0.0,2.9283222070574112e-05,0.23060399978032842,0.25028369903719694,8.9090518705564,444,0.006425830407708566,0.04757558471192242,10.0,2.0,0.010690862244667683,0.0,False,-0.008988837012200827,-0.019679699256868508
BTC/USDT,development,C1,1,8765,-0.033385119786068285,-0.008448051844896498,-0.3888114920947998,-0.1328920046318181,-0.0511776103400613,-0.16507319878285626,-3.7708050888041585e-06,0.00045385492133841074,0.037079292641186534,0.912470614361729,-3.7708050888041585e-06,0.0,4.473935082302407e-05,0.3445490143429547,0.37760012094632317,49.92264574676832,760,0.00968463921552326,0.06776953793496862,10.0,2.0,0.05990717489612199,0.0,False,0.026856068292753534,-0.03305110660336845
